trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,False,"{'a': 0.96, 'e': 0.4073494430632618}",25,0,-2.831592156213338,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.96, 'e': 0.3910554653407313}",25,8,-15.148700729832711,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.96, 'e': 0.3754132467271021}",20,14,8.302761567941605,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.96, 'e': 0.360396716858018}",20,13,5.691469533335913,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.96, 'e': 0.34598084818369723}",25,11,8.682900661418222,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.96, 'e': 0.33214161425634936}",20,0,10.94965943745237,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.96, 'e': 0.3188559496860954}",20,14,10.876329789853749,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.96, 'e': 0.3061017116986515}",25,14,-28.90232883469765,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.96, 'e': 0.29385764323070546}",25,17,5.647978909570549,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.96, 'e': 0.28210333750147726}",20,10,8.428477403640485,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.96, 'e': 0.2708192040014181}",20,8,14.904159094131098,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.96, 'e': 0.2599864358413614}",20,0,15.309532113438326,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.96, 'e': 0.24958697840770694}",20,10,20.707844384557234,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.96, 'e': 0.23960349927139865}",20,0,25.693055672216907,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.96, 'e': 0.2300193593005427}",20,15,1.9471992230441921,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.96, 'e': 0.22081858492852097}",25,0,-11.861650326702822,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
